kind,scope,name,numeric_value,text_value
metric,"round_53",boundary_edge_fraction,0.0266611,
metric,"round_53",partition_load_imbalance,92.1565,
metric,"round_53",local_queue_size,111349,
metric,"round_53",boundary_queue_size,3050,
metric,"round_53",accepted_local_collapses,480,
metric,"round_53",accepted_boundary_collapses,128,
metric,"round_53",skipped_boundary_edges,0,
metric,"round_53",rejected_conflicts,684,
metric,"round_53",repartitioned,1,
metric,"round_54",interior_edge_fraction,0.973173,
metric,"round_54",boundary_edge_fraction,0.0268266,
metric,"round_54",partition_load_imbalance,115.777,
metric,"round_54",local_queue_size,109555,
metric,"round_54",boundary_queue_size,3020,
metric,"round_54",accepted_local_collapses,474,
metric,"round_54",accepted_boundary_collapses,128,
metric,"round_54",skipped_boundary_edges,0,
metric,"round_54",rejected_conflicts,646,
metric,"round_54",repartitioned,1,
metric,"round_55",interior_edge_fraction,0.972465,
metric,"round_55",boundary_edge_fraction,0.0275348,
metric,"round_55",partition_load_imbalance,146.529,
metric,"round_55",local_queue_size,107719,
metric,"round_55",boundary_queue_size,3050,
metric,"round_55",accepted_local_collapses,471,
metric,"round_55",accepted_boundary_collapses,128,
metric,"round_55",skipped_boundary_edges,0,
metric,"round_55",rejected_conflicts,670,
metric,"round_55",repartitioned,1,
metric,"round_56",interior_edge_fraction,0.973066,
metric,"round_56",boundary_edge_fraction,0.0269335,
metric,"round_56",partition_load_imbalance,192.932,
metric,"round_56",local_queue_size,106037,
metric,"round_56",boundary_queue_size,2935,
metric,"round_56",accepted_local_collapses,465,
metric,"round_56",accepted_boundary_collapses,128,
metric,"round_56",skipped_boundary_edges,0,
metric,"round_56",rejected_conflicts,550,
metric,"round_56",repartitioned,1,
metric,"round_57",interior_edge_fraction,0.973552,
metric,"round_57",boundary_edge_fraction,0.0264476,
metric,"round_57",partition_load_imbalance,251.323,
metric,"round_57",local_queue_size,104358,
metric,"round_57",boundary_queue_size,2835,
metric,"round_57",accepted_local_collapses,462,
metric,"round_57",accepted_boundary_collapses,128,
metric,"round_57",skipped_boundary_edges,0,
metric,"round_57",rejected_conflicts,543,
metric,"round_57",repartitioned,1,
metric,"round_58",interior_edge_fraction,0.973573,
metric,"round_58",boundary_edge_fraction,0.0264269,
metric,"round_58",partition_load_imbalance,337.496,
metric,"round_58",local_queue_size,102637,
metric,"round_58",boundary_queue_size,2786,
metric,"round_58",accepted_local_collapses,459,
metric,"round_58",accepted_boundary_collapses,128,
metric,"round_58",skipped_boundary_edges,0,
metric,"round_58",rejected_conflicts,625,
metric,"round_58",repartitioned,1,
metric,"round_59",interior_edge_fraction,0.973674,
metric,"round_59",boundary_edge_fraction,0.0263259,
metric,"round_59",partition_load_imbalance,462.059,
metric,"round_59",local_queue_size,100933,
metric,"round_59",boundary_queue_size,2729,
metric,"round_59",accepted_local_collapses,456,
metric,"round_59",accepted_boundary_collapses,128,
metric,"round_59",skipped_boundary_edges,0,
metric,"round_59",rejected_conflicts,785,
metric,"round_59",repartitioned,1,
metric,"round_60",interior_edge_fraction,0.974065,
